name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"Rules and Legislation Committee - CANCELLED", "12/29/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519927&GUID=759F6B07-A88A-4EB0-91AB-952E75F108B8", "10:45 AM", "City Council Chamber, 3rd Floor", "None", "None", "None", "None", "None"
"Public Safety Committee - CANCELLED", "12/27/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519925&GUID=83B40237-AEC5-4E08-8D9C-C675A3D54432", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Life Enrichment Committee - CANCELLED", "12/27/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519924&GUID=791379C7-2D64-4F74-AE8D-F7E3D251CB01", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Community and Economic Development Committee - CANCELLED", "12/27/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519926&GUID=F66300D7-EA7E-498E-A143-D341F6E27867", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Public Works Committee - CANCELLED", "12/27/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519921&GUID=FB84B05C-479D-4FF4-98BA-4E276DA8DDE0", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Finance and Management Committee - CANCELLED", "12/27/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519923&GUID=96A320A6-C434-4FE8-A990-27ECFAF21C9B", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Rules and Legislation Committee - CANCELLED", "12/22/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519855&GUID=4AFADEE0-1CA2-4813-90F5-F8DF5D789E97", "10:45 AM", "City Council Chamber, 3rd Floor", "None", "None", "None", "None", "None"
"Meeting of the Oakland City Council - CANCELLATION", "12/20/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=519848&GUID=FB9E652B-CCBC-4669-84EE-00F84F49A0CB", "5:30 PM", "City Council Chamber, 3rd Floor", "None", "None", "None", "None", "None"
"Rules & Legislation Committee", "12/15/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=518427&GUID=88699CFF-0C14-45C8-BF10-2BA43240C2B7", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=518427&GUID=88699CFF-0C14-45C8-BF10-2BA43240C2B7&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=518427&GUID=88699CFF-0C14-45C8-BF10-2BA43240C2B7", "https://oakland.legistar.com/View.ashx?M=M&ID=518427&GUID=88699CFF-0C14-45C8-BF10-2BA43240C2B7", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2136&Mode2=Video", "None"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council", "12/13/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=518273&GUID=7273AC11-A54D-42D4-B1EA-7AA57820A5D2", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=518273&GUID=7273AC11-A54D-42D4-B1EA-7AA57820A5D2&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=518273&GUID=7273AC11-A54D-42D4-B1EA-7AA57820A5D2", "https://oakland.legistar.com/View.ashx?M=M&ID=518273&GUID=7273AC11-A54D-42D4-B1EA-7AA57820A5D2", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2135&Mode2=Video", "None"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council", "12/8/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=520344&GUID=599F35AC-D251-4B4C-85C7-44503853BF66", "2:15 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=520344&GUID=599F35AC-D251-4B4C-85C7-44503853BF66&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=520344&GUID=599F35AC-D251-4B4C-85C7-44503853BF66", "https://oakland.legistar.com/View.ashx?M=M&ID=520344&GUID=599F35AC-D251-4B4C-85C7-44503853BF66", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2133&Mode2=Video", "None"
"Rules & Legislation Committee", "12/8/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517413&GUID=81EB076E-7E0C-49B6-9D96-6FB933CAE9B3", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517413&GUID=81EB076E-7E0C-49B6-9D96-6FB933CAE9B3&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517413&GUID=81EB076E-7E0C-49B6-9D96-6FB933CAE9B3", "https://oakland.legistar.com/View.ashx?M=M&ID=517413&GUID=81EB076E-7E0C-49B6-9D96-6FB933CAE9B3", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2132&Mode2=Video", "None"
"Special Public Safety Committee", "12/6/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517412&GUID=0B24C26A-C5C2-4804-8B15-7F9B60E6613B", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517412&GUID=0B24C26A-C5C2-4804-8B15-7F9B60E6613B&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517412&GUID=0B24C26A-C5C2-4804-8B15-7F9B60E6613B", "https://oakland.legistar.com/View.ashx?M=M&ID=517412&GUID=0B24C26A-C5C2-4804-8B15-7F9B60E6613B", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2129&Mode2=Video", "None"
"Special Life Enrichment Committee", "12/6/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517407&GUID=0E1B0514-B317-4542-BEF8-2F4C5A69E9F7", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517407&GUID=0E1B0514-B317-4542-BEF8-2F4C5A69E9F7&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517407&GUID=0E1B0514-B317-4542-BEF8-2F4C5A69E9F7", "https://oakland.legistar.com/View.ashx?M=M&ID=517407&GUID=0E1B0514-B317-4542-BEF8-2F4C5A69E9F7", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2128&Mode2=Video", "None"
" Special Concurrent Meeting of the Oakland Redevelopment Successor Agency and Community & Economic Development Committee", "12/6/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517411&GUID=73A5EB9C-63DD-46EB-BDEF-279898606C80", "1:00 PM", "Sgt. Mark Dunakin Room - Hearing Room 1", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517411&GUID=73A5EB9C-63DD-46EB-BDEF-279898606C80&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517411&GUID=73A5EB9C-63DD-46EB-BDEF-279898606C80", "https://oakland.legistar.com/View.ashx?M=M&ID=517411&GUID=73A5EB9C-63DD-46EB-BDEF-279898606C80", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2127&Mode2=Video", "None"
"Special Public Works Committee", "12/6/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517408&GUID=5652F5BA-0685-4076-AFA1-AB67C4795E2D", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517408&GUID=5652F5BA-0685-4076-AFA1-AB67C4795E2D&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517408&GUID=5652F5BA-0685-4076-AFA1-AB67C4795E2D", "https://oakland.legistar.com/View.ashx?M=M&ID=517408&GUID=5652F5BA-0685-4076-AFA1-AB67C4795E2D", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2126&Mode2=Video", "None"
"Special Finance & Management Committee", "12/6/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=517410&GUID=1AE31501-AECA-493E-8FBB-FED6DE670E0A", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=517410&GUID=1AE31501-AECA-493E-8FBB-FED6DE670E0A&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=517410&GUID=1AE31501-AECA-493E-8FBB-FED6DE670E0A", "https://oakland.legistar.com/View.ashx?M=M&ID=517410&GUID=1AE31501-AECA-493E-8FBB-FED6DE670E0A", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2125&Mode2=Video", "None"
"Rules & Legislation Committee", "12/1/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=516202&GUID=51832A9E-5005-48EC-AE3A-E227DD39EA1F", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=516202&GUID=51832A9E-5005-48EC-AE3A-E227DD39EA1F&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=516202&GUID=51832A9E-5005-48EC-AE3A-E227DD39EA1F", "https://oakland.legistar.com/View.ashx?M=M&ID=516202&GUID=51832A9E-5005-48EC-AE3A-E227DD39EA1F", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2122&Mode2=Video", "None"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency / City Council / Geologic Hazard Abatement District Board", "11/29/2016", "https://oakland.legistar.com/View.ashx?M=IC&ID=516122&GUID=AE6BC30C-BEA4-40D6-BA93-C1C94BDDB2D3", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=516122&GUID=AE6BC30C-BEA4-40D6-BA93-C1C94BDDB2D3&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=516122&GUID=AE6BC30C-BEA4-40D6-BA93-C1C94BDDB2D3", "https://oakland.legistar.com/View.ashx?M=M&ID=516122&GUID=AE6BC30C-BEA4-40D6-BA93-C1C94BDDB2D3", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2120&Mode2=Video", "None"
